Start_date,End_Date,Crime,Current,Prior,Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
  12/28/2020,  1/3/2021,Burglary,27,23,17.4,173,145,19.3,"2,621","2,015",30.1,20.2,-18.2,-78.1,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Gr. Larceny,68,77,-11.7,324,386,-16.1,"4,525","5,392",-16.1,-17.6,4.8,-34.1,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,G.L.A.,20,19,5.3,118,77,53.2,"1,378",929,48.3,74.9,-3,-85.5,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,TOTAL,186,233,-20.17,"1,009","1,026",-1.66,"14,305","14,511",-1.42,-2.53,-11.82,-73.71,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Transit,2,12,-83.3,18,46,-60.9,308,446,-30.9,-38,-30.5,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Housing,15,34,-55.9,106,98,8.2,"1,352","1,346",0.4,4.6,15.7,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Petit Larceny,157,181,-13.3,818,890,-8.1,"10,626","11,320",-6.1,-6.1,2,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Misd. Assault,88,91,-3.3,333,423,-21.3,"4,540","5,868",-22.6,-26.2,-41.4,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Misd. Sex Crimes,5,2,150,24,27,-11.1,342,433,-21,-15.8,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Shooting Vic.,7,6,16.7,36,45,-20,592,665,-11,-17.8,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Shooting Inc.,7,4,75,32,12,166.7,501,245,104.5,115,0.6,-72.8,28,53,Bill de Blasio,Dermot Shea,Brooklyn North
  12/28/2020,  1/3/2021,Murder,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Rape,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Robbery,0,1,-100,2,2,0,0,1,-100,-100,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Fel. Assault,1,3,-66.7,2,6,-66.7,0,0,***.*,-100,-100,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Burglary,0,0,***.*,1,1,0,0,0,***.*,-100,-100,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Gr. Larceny,2,0,***.*,13,11,18.2,0,0,***.*,-100,-100,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,G.L.A.,0,0,***.*,1,1,0,0,0,***.*,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,TOTAL,3,4,-25,19,21,-9.52,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Transit,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Petit Larceny,3,4,-25,22,20,10,3,0,***.*,-25,-40,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Misd. Assault,0,3,-100,11,7,57.1,0,3,-100,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Misd. Sex Crimes,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Shooting Vic.,1,0,***.*,1,0,***.*,1,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Shooting Inc.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,123rd Precinct
  12/28/2020,  1/3/2021,Murder,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Rape,0,0,***.*,1,0,***.*,0,0,***.*,***.*,-100,***.*,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Robbery,0,0,***.*,2,1,100,0,0,***.*,***.*,-100,-100,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Fel. Assault,1,2,-50,9,7,28.6,0,2,-100,***.*,***.*,-100,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Burglary,2,1,100,6,6,0,1,0,***.*,0,0,-91.7,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
  12/28/2020,  1/3/2021,Gr. Larceny,5,4,25,20,20,0,3,1,200,50,50,50,28,53,Bill de Blasio,Dermot Shea,122nd Precinct
