Ratio,28Day_Current,28Day_Prior,28Day_Ratio,YTD_Current,YTD_Prior,YTD_Ratio,2YR(2019),11YR(2010),28YR(1993),Volume_Number,Number_number,Mayor,Commissioner,Precinct
133.3,24,17,41.2,1,2,-50,-50,-75,-88.9,28,53,Bill de Blasio,Dermot Shea,70th Precinct
-57.1,20,13,53.8,2,1,100,100,-33.3,-88.9,28,53,Bill de Blasio,Dermot Shea,70th Precinct
-50,34,59,-42.37,5,9,-44.44,-16.67,-16.67,-83.33,28,53,Bill de Blasio,Dermot Shea,69th Precinct
-75,9,12,-25,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,68th Precinct
-44.4,22,33,-33.3,1,3,-66.7,-66.7,-66.7,-93.8,28,53,Bill de Blasio,Dermot Shea,67th Precinct
18.2,37,33,12.1,6,5,20,200,100,0,28,53,Bill de Blasio,Dermot Shea,67th Precinct
-22.2,31,29,6.9,2,4,-50,-33.3,-50,-66.7,28,53,Bill de Blasio,Dermot Shea,67th Precinct
2.78,118,116,1.72,12,12,0,20,-29.41,-83.56,28,53,Bill de Blasio,Dermot Shea,67th Precinct
0,11,14,-21.4,0,1,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,66th Precinct
33.3,37,33,12.1,0,3,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,66th Precinct
-11.76,90,79,13.92,2,8,-75,-80,-75,-95.24,28,53,Bill de Blasio,Dermot Shea,66th Precinct
41.67,70,71,-1.41,5,7,-28.57,-44.44,-54.55,-80.77,28,53,Bill de Blasio,Dermot Shea,62nd Precinct
-12.5,24,23,4.3,3,6,-50,200,50,-81.3,28,53,Bill de Blasio,Dermot Shea,52nd Precinct
22.2,33,29,13.8,5,6,-16.7,150,150,-44.4,28,53,Bill de Blasio,Dermot Shea,52nd Precinct
0,10,19,-47.4,1,2,-50,-50,-85.7,-92.3,28,53,Bill de Blasio,Dermot Shea,52nd Precinct
6.3,52,62,-16.1,3,3,0,-62.5,200,0,28,53,Bill de Blasio,Dermot Shea,52nd Precinct
-80,14,10,40,1,3,-66.7,0,-50,-87.5,28,53,Bill de Blasio,Dermot Shea,52nd Precinct
-6.82,136,146,-6.85,13,21,-38.1,-7.14,-7.14,-73.47,28,53,Bill de Blasio,Dermot Shea,52nd Precinct
-30,47,36,30.6,2,3,-33.3,-33.3,0,-33.3,28,53,Bill de Blasio,Dermot Shea,50th Precinct
-66.7,18,16,12.5,1,1,0,0,-75,0,28,53,Bill de Blasio,Dermot Shea,49th Precinct
-85.7,8,11,-27.3,0,3,-100,-100,-100,-100,28,53,Bill de Blasio,Dermot Shea,49th Precinct
-33.3,26,31,-16.1,1,1,0,-80,-50,-75,28,53,Bill de Blasio,Dermot Shea,49th Precinct
-50,21,25,-16,3,5,-40,-40,0,-70,28,53,Bill de Blasio,Dermot Shea,48th Precinct
33.3,43,21,104.8,1,3,-66.7,-66.7,0,-85.7,28,53,Bill de Blasio,Dermot Shea,48th Precinct
-37.5,19,35,-45.7,2,4,-50,-33.3,100,-66.7,28,53,Bill de Blasio,Dermot Shea,48th Precinct
-10.71,109,109,0,7,13,-46.15,-50,-12.5,-85.11,28,53,Bill de Blasio,Dermot Shea,48th Precinct
0,39,22,77.3,5,4,25,66.7,400,-58.3,28,53,Bill de Blasio,Dermot Shea,47th Precinct
62.5,54,40,35,8,4,100,33.3,60,-11.1,28,53,Bill de Blasio,Dermot Shea,47th Precinct
0,21,14,50,2,2,0,0,100,-81.8,28,53,Bill de Blasio,Dermot Shea,47th Precinct
-69.2,25,26,-3.8,2,4,-50,100,-33.3,-85.7,28,53,Bill de Blasio,Dermot Shea,46th Precinct
